priority,task_id,family,purpose,target,method,script,logical_training_units,session_split,description
210,N02_MV3_linear,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,linear,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_linear.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_lora_conv,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,lora_conv,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_residual,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,residual,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_sidetune,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,sidetune,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_ssf,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,ssf,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
220,N03_DN121_bam,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,bam,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_bitfit,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,bitfit,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_bitfit.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_conv_r4,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,conv_r4,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_dt1d,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,dt1d,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_full,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,full,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_linear,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,linear,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_linear.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_lora_conv,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,lora_conv,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_residual,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,residual,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_sidetune,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,sidetune,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
220,N03_DN121_ssf,cnn,new_small_cnn_dataset,v10_n03_stl10_densenet121_100,ssf,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N03_STL10_DenseNet121_100ep/N03_DN121_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / DenseNet-121 / 100ep
230,N04_R18_bam,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,bam,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_bitfit,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,bitfit,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_bitfit.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_conv_r4,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,conv_r4,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_dt1d,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,dt1d,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_full,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,full,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_linear,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,linear,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_linear.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_lora_conv,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,lora_conv,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_residual,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,residual,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_sidetune,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,sidetune,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
230,N04_R18_ssf,cnn,new_small_cnn_dataset,v10_n04_flowers17_resnet18_100,ssf,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N04_Flowers17_ResNet18_100ep/N04_R18_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / ResNet-18 / 100ep
